ID_Veiculo,Tipo_Veiculo,Data,KM_Rodado,Litros_Combustivel,Custo_Manutencao
V008,Van,2023-05-01,2860.5,327.02,114.27
V008,Van,2023-06-01,1495.86,234.87,191.1
V008,Van,2023-07-01,2478.43,241.74,705.79
V008,Van,2023-08-01,1724.2,190.97,654.02
V008,Van,2023-09-01,2560.28,391.53,525.57
V008,Van,2023-10-01,2306.75,239.44,131.04
V008,Van,2023-11-01,2613.97,406.65,0.0
V008,Van,2023-12-01,2442.28,322.16,456.48
V009,Carro,2023-01-01,2047.69,216.66,497.39
V009,Carro,2023-02-01,1656.04,179.24,565.38
V009,Carro,2023-03-01,1786.87,218.47,271.07
V009,Carro,2023-04-01,2491.61,218.78,519.19
V009,Carro,2023-05-01,2154.84,242.49,621.88
V009,Carro,2023-06-01,1761.14,198.02,0.0
V009,Carro,2023-07-01,2216.32,254.76,549.27
V009,Carro,2023-08-01,2328.78,249.24,0.0
V009,Carro,2023-09-01,1963.1,196.7,199.73
V009,Carro,2023-10-01,2353.97,295.66,588.99
V009,Carro,2023-11-01,1801.34,174.51,778.07
V009,Carro,2023-12-01,2986.94,271.34,0.0
V010,Caminhão,2023-01-01,1824.99,186.57,614.36
V010,Caminhão,2023-02-01,2848.5,259.41,561.18
V010,Caminhão,2023-03-01,1937.84,284.73,205.61
V010,Caminhão,2023-04-01,2107.63,284.59,555.43
V010,Caminhão,2023-05-01,2399.29,229.57,0.0
V010,Caminhão,2023-06-01,3063.17,264.24,0.0
V010,Caminhão,2023-07-01,3241.28,290.66,559.43
V010,Caminhão,2023-08-01,2429.6,391.06,587.22
V010,Caminhão,2023-09-01,1974.16,263.18,502.77
V010,Caminhão,2023-10-01,1513.68,157.11,600.35
V010,Caminhão,2023-11-01,2524.62,319.71,747.67
V010,Caminhão,2023-12-01,1751.66,175.86,749.69
V011,Carro,2023-01-01,1890.63,314.5,719.29
V011,Carro,2023-02-01,2468.22,404.0,0.0
V011,Carro,2023-03-01,1764.28,244.8,568.3
V011,Carro,2023-04-01,1858.23,163.3,709.17
V011,Carro,2023-05-01,2609.74,318.37,320.95
V011,Carro,2023-06-01,1781.91,167.01,680.09
V011,Carro,2023-07-01,1495.68,160.42,309.11
V011,Carro,2023-08-01,2011.6,230.16,430.71
V011,Carro,2023-09-01,1651.52,224.71,535.92
V011,Carro,2023-10-01,1926.13,172.96,320.4
V011,Carro,2023-11-01,2095.22,201.79,706.48
V011,Carro,2023-12-01,2418.28,334.72,321.88
V012,Carro,2023-01-01,1670.29,189.7,269.71
V012,Carro,2023-02-01,2412.72,396.43,153.77
V012,Carro,2023-03-01,1368.17,183.77,681.44
V012,Carro,2023-04-01,3260.06,272.63,249.54
V012,Carro,2023-05-01,2298.9,267.55,0.0
V012,Carro,2023-06-01,1723.01,158.48,725.15
V012,Carro,2023-07-01,1946.97,213.75,248.96
V012,Carro,2023-08-01,2362.8,294.23,373.62
V012,Carro,2023-09-01,2015.47,168.84,790.57
V012,Carro,2023-10-01,2147.05,270.66,289.92
V012,Carro,2023-11-01,1721.67,156.34,781.92
V012,Carro,2023-12-01,1745.01,171.31,181.46
V013,Caminhão,2023-01-01,1821.69,239.34,297.67
V013,Caminhão,2023-02-01,2418.77,205.38,718.68
V013,Caminhão,2023-03-01,3268.05,281.47,163.03
V013,Caminhão,2023-04-01,1960.28,169.48,541.96
V013,Caminhão,2023-05-01,2137.0,280.95,0.0
V013,Caminhão,2023-06-01,1755.69,178.79,664.78
V013,Caminhão,2023-07-01,2550.99,291.78,0.0
V013,Caminhão,2023-08-01,1680.56,215.46,755.28
V013,Caminhão,2023-09-01,552.56,63.47,727.97
V013,Caminhão,2023-10-01,1584.03,187.01,573.07
V013,Caminhão,2023-11-01,1661.43,139.45,0.0
V013,Caminhão,2023-12-01,1908.0,239.15,242.46
V014,Van,2023-01-01,2502.43,415.56,225.52
V014,Van,2023-02-01,1666.99,253.82,144.7
V014,Van,2023-03-01,2233.56,227.75,627.22
V014,Van,2023-04-01,1958.95,248.12,372.65
V014,Van,2023-05-01,1758.8,204.08,452.22
V014,Van,2023-06-01,1428.71,149.04,401.53
V014,Van,2023-07-01,1432.29,124.07,0.0
V014,Van,2023-08-01,2078.97,222.3,645.01
V014,Van,2023-09-01,1909.53,208.01,771.94
V014,Van,2023-10-01,2164.42,190.5,383.67
V014,Van,2023-11-01,2377.14,201.63,796.59
V014,Van,2023-12-01,1481.43,228.34,245.87
V015,Van,2023-01-01,3098.88,504.95,782.58
V015,Van,2023-02-01,1775.68,180.45,245.58
V015,Van,2023-03-01,1900.72,216.66,454.46
V015,Van,2023-04-01,1760.65,172.57,715.03
V015,Van,2023-05-01,1756.47,253.76,116.79
V015,Van,2023-06-01,2513.72,288.21,537.04
V015,Van,2023-07-01,1669.91,212.92,692.08
V015,Van,2023-08-01,1669.96,244.35,520.13
V015,Van,2023-09-01,2235.54,199.44,771.64
V015,Van,2023-10-01,1417.53,120.85,0.0
V015,Van,2023-11-01,1275.86,155.88,100.87
V015,Van,2023-12-01,1991.71,167.17,295.05
V016,Carro,2023-01-01,1529.1,157.14,785.2
V016,Carro,2023-02-01,1824.56,208.32,546.27
V016,Carro,2023-03-01,2043.04,256.53,0.0
V016,Carro,2023-04-01,1503.83,164.34,0.0
V016,Carro,2023-05-01,2419.96,366.06,639.94
V016,Carro,2023-06-01,1500.05,185.45,678.18
V016,Carro,2023-07-01,2526.74,249.84,788.53
V016,Carro,2023-08-01,1908.75,223.15,0.0
V016,Carro,2023-09-01,1377.68,127.03,313.02
V016,Carro,2023-10-01,1646.67,226.64,133.29
V016,Carro,2023-11-01,2166.64,357.0,637.98
V016,Carro,2023-12-01,2122.04,263.95,748.75
V017,Carro,2023-01-01,2016.15,203.11,237.04
V017,Carro,2023-02-01,1503.09,142.76,662.27
V017,Carro,2023-03-01,2105.02,186.03,0.0
V017,Carro,2023-04-01,1946.54,229.64,404.5
V017,Carro,2023-05-01,1157.18,134.91,231.49
V017,Carro,2023-06-01,2668.17,240.71,0.0
V017,Carro,2023-07-01,2413.48,262.1,294.13
V017,Carro,2023-08-01,1897.0,183.18,769.69
V017,Carro,2023-09-01,1411.1,154.11,149.96
V017,Carro,2023-10-01,3028.23,265.45,181.58
V017,Carro,2023-11-01,1991.47,215.58,0.0
V017,Carro,2023-12-01,2100.86,271.78,103.73
V018,Carro,2023-01-01,1488.64,129.99,380.67
V018,Carro,2023-02-01,2050.85,171.37,728.3
V018,Carro,2023-03-01,2208.24,256.97,718.4
V018,Carro,2023-04-01,2933.55,282.62,171.86
V018,Carro,2023-05-01,2158.81,288.06,0.0
V018,Carro,2023-06-01,1742.59,191.23,611.32
V018,Carro,2023-07-01,1117.43,118.82,657.74
V018,Carro,2023-08-01,2706.15,229.6,540.74
V018,Carro,2023-09-01,2021.92,169.41,731.75
V018,Carro,2023-10-01,2186.39,183.48,109.44
V018,Carro,2023-11-01,2268.49,199.16,736.52
V018,Carro,2023-12-01,2569.01,361.17,202.9
V019,Caminhão,2023-01-01,1965.16,170.49,0.0
V019,Caminhão,2023-02-01,1964.8,167.14,429.67
V019,Caminhão,2023-03-01,2278.86,313.87,236.66
V019,Caminhão,2023-04-01,2002.8,273.1,0.0
V019,Caminhão,2023-05-01,2470.38,275.97,349.43
V019,Caminhão,2023-06-01,1731.06,206.88,797.85
V019,Caminhão,2023-07-01,1976.41,181.82,0.0
V019,Caminhão,2023-08-01,2092.12,181.92,0.0
V019,Caminhão,2023-09-01,2700.08,302.33,576.75
V019,Caminhão,2023-10-01,1799.93,161.8,0.0
V019,Caminhão,2023-11-01,1982.81,265.4,718.59
V019,Caminhão,2023-12-01,1659.03,172.66,0.0
V020,Carro,2023-01-01,2270.69,365.97,0.0
V020,Carro,2023-02-01,1803.48,214.1,451.04
V020,Carro,2023-03-01,1838.78,246.67,0.0
V020,Carro,2023-04-01,2175.64,211.93,659.13
V020,Carro,2023-05-01,1838.94,199.16,501.15
V020,Carro,2023-06-01,1790.81,265.04,159.59
V020,Carro,2023-07-01,2372.41,243.22,257.29
V020,Carro,2023-08-01,2615.22,292.32,449.23
V020,Carro,2023-09-01,1548.99,252.13,186.19
V020,Carro,2023-10-01,1165.91,148.18,698.42
V020,Carro,2023-11-01,2465.29,240.32,262.5
V020,Carro,2023-12-01,1489.6,170.46,443.57
